Veracruz,Puebla,Chiapas,Oaxaca,Guerrero,Otro (especifique),Municipio,Nombre de localidad más cercana a la finca,Arábica,Robusta,Precio mínimo por Kilo de fruto o cereza convencional,Precio mínimo por Kilo de pergamino lavado convencional,Precio mínimo por Kilo de natural convencional,"Precio mínimo por Kilo de verde, oro, morteado convencional",Precio máximo por Kilo de fruto o cereza convencional,Precio máximo por Kilo de pergamino lavado convencional,Precio máximo por Kilo de natural convencional,"Precio máximo por Kilo de verde, oro, morteado convencional",Precio mínimo por Kilo de pergamino lavado especial,Precio mínimo por Kilo de pergamino honey especial,Precio mínimo por Kilo de pergamino semilavado especial,Precio mínimo por Kilo de natural especial,"Precio mínimo por Kilo de café verde, oro, morteado especial",Precio máximo por Kilo de Pergamino lavado especial,Precio máximo por Kilo de pergamino honey especial,Precio máximo por Kilo de pergamino semilavado especial,Precio máximo por Kilo de natural especial,"Precio máximo por Kilo de café verde, oro o morteado especial"
,,,Oaxaca,,,Asunción Cacalotepec,San Jorge Casa Grande,Arábica,,0.0,,,,0.0,,,,100.0,,,,,120.0,,,,
,,,Oaxaca,,,Asunción Cacalotepec,San Jorge Casa Grande,Arábica,,,100.0,,,,120.0,,,,,,,,,,,,
,,,Oaxaca,,,Santa María Alotepec,San Isidro Huayapam,Arábica,,,100.0,,,,120.0,,,,,,,,,,,,
,,,Oaxaca,,,Santa María Alotepec,San Isidro Huayapam,Arábica,,,100.0,,,,120.0,,,,,,,,,,,,
,,,Oaxaca,,,Santa María Alotepec,San Isidro Huayapam,Arábica,,,100.0,,,,120.0,,,,,,,,,,,,
,,,Oaxaca,,,San Isidro Huayapam,Estancia de Morelos,Arábica,,,26.0,,,,52.0,,,,,,,,,,,,
,,,Oaxaca,,,San Isidro Huayapam,Estancia de Morelos,Arábica,,13.0,26.0,,,35.0,91.0,,,,,,,,,,,,
,,,Oaxaca,,,Asunción Cacalotepec,San Antonio Tlaxcaltepec,Arábica,,,100.0,,,,120.0,,,,,,,,,,,,
,,,Oaxaca,,,Asunción Cacalotepec,San Jorge Casa Grande,Arábica,,,34.0,,,,60.0,,,,,,,,,,,,
,,,Oaxaca,,,San Isidro Huayapam,Estancia de Morelos,Arábica,,,43.0,,,,70.0,,,,,,,,,,,,
,,,Oaxaca,,,San Isidro Huayapam,Estancia de Morelos,Arábica,,,52.0,,,,87.0,,,,,,,,,,,,
,,,Oaxaca,,,San Isidro Huayapam,Estancia de Morelos,Arábica,,,50.0,,,,80.0,,,,,,,,,,,,
,,,Oaxaca,,,San Isidro Huayapam,Estancia de Morelos,Arábica,,,52.0,,,,80.0,,,,,,,,,,,,
,,,Oaxaca,,,Asunción Cacalotepec,San Jorge Casa Grande,Arábica,,,48.0,,,,72.0,,,,,,,,,,,,
,,,Oaxaca,,,Asunción Cacalotepec,San Antonio Tlaxcaltepec,Arábica,,,54.0,,,,95.0,,,,,,,,,,,,
,,,Oaxaca,,,San Miguel del Puerto,Arroyo Piedra,Arábica,,15.0,54.0,,,33.0,87.0,,,,,,,,,,,,
,,,Oaxaca,,,San Miguel del Puerto,Arroyo Piedra,Arábica,,,40.0,,50.0,,65.0,,100.0,,,,,,,,,,
,,,Oaxaca,,,San Juan Ozolotepec,Santo Domingo Ozolotepec,Arábica,,,90.0,,,,123.0,,,,,,,,,,,,
,,,Oaxaca,,,San Miguel del Puerto,Mandimbo,Arábica,,,43.0,,80.0,,65.0,,100.0,,,,,,,,,,
,,,Oaxaca,,,San Miguel del Puerto,Mandimbo,Arábica,,,33.0,,100.0,,76.0,,120.0,,,,,,,,,,
,,,Oaxaca,,,San Miguel del Puerto,Arroyo Piedra,Arábica,,,39.0,,,,83.0,,,,,,,,,,,,
,,,Oaxaca,,,San Miguel del Puerto,Arroyo Piedra,Arábica,,,26.0,,,,47.0,,,,,,,,,,,,
,,,Oaxaca,,,San Miguel del Puerto,Arroyo Piedra,Arábica,,,,,100.0,,,,120.0,,,,,,,,,,
,,,Oaxaca,,,San Miguel del Puerto,Arroyo Piedra,Arábica,,,60.0,,80.0,,95.0,,120.0,,,,,,,,,,
,,,Oaxaca,,,San Miguel del Puerto,Arroyo Piedra,Arábica,,,80.0,,80.0,,100.0,,,,,,,,,,,,120.0
,,,Oaxaca,,,San Miguel del Puerto,Arroyo Piedra,Arábica,,,60.0,,100.0,,90.0,,120.0,,,,,,,,,,
,,,Oaxaca,,,San José Ozolotepec,Guivini,Arábica,,0.0,,,,0.0,,,,60.0,,,,,120.0,,,,
,,,Oaxaca,,,San José Ozolotepec,Guivini,Arábica,,,50.0,,50.0,,80.0,,130.0,,,,,,,,,,
,,,Oaxaca,,,San José Ozolotepec,Guivini,Arábica,,,54.0,,60.0,,65.0,,120.0,,,,,,,,,,
,,,Oaxaca,,,San José Ozolotepec,Guivini,Arábica,,,,,50.0,,,,100.0,80.0,,,,,120.0,,,,
,,,Oaxaca,,,San José Ozolotepec,Guivini,Arábica,,0.0,,,,0.0,,,,60.0,,,,,120.0,,,,
,,,Oaxaca,,,San Francisco Ozolotepec,Santa Catarina Xanaguia,Arábica,,0.0,,,,0.0,,,,60.0,,,,,120.0,,,,
,,,Oaxaca,,,San Francisco Ozolotepec,Santa Catarina Xanaguia,Arábica,,0.0,,,,0.0,,,,80.0,,,,,119.0,,,,
,,,Oaxaca,,,San Francisco Ozolotepec,Santa Catarina Xanaguia,Arábica,,,,,60.0,,,,120.0,80.0,,,,,127.0,,,,
,,,Oaxaca,,,San Francisco Ozolotepec,Santa Catarina Xanaguia,Arábica,,0.0,,,,0.0,,,,95.0,,,,,119.0,,,,
,,,Oaxaca,,,San Francisco Ozolotepec,Santa Catarina Xanaguia,Arábica,,0.0,,,,0.0,,,,60.0,,,,,120.0,,,,
,,,Oaxaca,,,San Juan Ozolotepec,Santo Domingo Ozolotepec,Arábica,,0.0,,,,0.0,,,,80.0,,,,,125.0,,,,
,,,Oaxaca,,,San Juan Ozolotepec,Santo Domingo Ozolotepec,Arábica,,0.0,,,,0.0,,,,90.0,,,,,120.0,,,,
,,,Oaxaca,,,San Juan Ozolotepec,Santo Domingo Ozolotepec,Arábica,,0.0,,,,0.0,,,,123.0,,,,,150.0,,,,
,,,Oaxaca,,,San Juan Ozolotepec,Santo Domingo Ozolotepec,Arábica,,0.0,,,,0.0,,,,60.0,,,,,120.0,,,,
,,,Oaxaca,,,San Miguel del Puerto,Mandimbo,Arábica,,0.0,,,,0.0,,,,,,,,80.0,,,,,130.0
,,,Oaxaca,,,San Miguel del Puerto,Mandimbo,Arábica,,,43.0,,,,98.0,,,,,,,,,,,,
,,,Oaxaca,,,San Miguel del Puerto,Arroyo Piedra,Arábica,,,54.0,,,,87.0,,,,,,,70.0,,,,,120.0
,,,Oaxaca,,,San Miguel del Puerto,Arroyo Piedra,Arábica,,,33.0,,,,109.0,,,,,,,70.0,,,,,100.0
,,,Oaxaca,,,San Miguel del Puerto,Arroyo Piedra,Arábica,,,50.0,,,,70.0,,,,,,,70.0,,,,,120.0
,,,Oaxaca,,,San Miguel del Puerto,Arroyo Piedra,Arábica,,,65.0,,,,87.0,,,,,,,75.0,,,,,100.0
,,,Oaxaca,,,San Miguel del Puerto,Arroyo Piedra,Arábica,,,54.0,,,,87.0,,,,,,,80.0,,,,,100.0
,,,Oaxaca,,,San Miguel del Puerto,Arroyo Piedra,Arábica,,,60.0,,,,100.0,,,,,,,,,,,,
,,,Oaxaca,,,San Miguel del Puerto,Arroyo Piedra,Arábica,,,50.0,,,,70.0,,,,,,,,,,,,
,,,Oaxaca,,,San José Ozolotepec,Guivini,Arábica,,0.0,,,,0.0,,,,70.0,,,,,90.0,,,,
,,,Oaxaca,,,San José Ozolotepec,Guivini,Arábica,,0.0,,,,0.0,,,,50.0,,,,,117.0,,,,
,,,Oaxaca,,,San José Ozolotepec,Guivini,Arábica,,0.0,,,,0.0,,,,90.0,,,,,115.0,,,,
,,,Oaxaca,,,San José Ozolotepec,Guivini,Arábica,,0.0,,,,0.0,,,,84.0,,,,,60.0,,,,
,,,Oaxaca,,,San José Ozolotepec,Guivini,Arábica,,0.0,,,,0.0,,,,60.0,,,,,120.0,,,,
,,,Oaxaca,,,San José Ozolotepec,Guivini,Arábica,,0.0,,,,0.0,,,,60.0,,,,,117.0,,,,
,,,Oaxaca,,,San Francisco Ozolotepec,Santa Catarina Xanaguia,Arábica,,0.0,,,,0.0,,,,80.0,,,,,122.0,,,,
,,,Oaxaca,,,San Francisco Ozolotepec,Santa Catarina Xanaguia,Arábica,,0.0,,,,0.0,,,,80.0,,,,,124.0,,,,
,,,Oaxaca,,,San Francisco Ozolotepec,Santa Catarina Xanaguia,Arábica,,0.0,,,,0.0,,,,80.0,,,,,120.0,,,,
,,,Oaxaca,,,San Francisco Ozolotepec,Santa Catarina Xanaguia,Arábica,,0.0,,,,0.0,,,,84.0,,,,,120.0,,,,
,,,Oaxaca,,,San Francisco Ozolotepec,Santa Catarina Xanaguia,Arábica,,28.0,,,,50.0,,,,60.0,,,,,122.0,,,,
,,,Oaxaca,,,San Juan Ozolotepec,Santo Domingo Ozolotepec,Arábica,,0.0,,,,0.0,,,,85.0,,,,,120.0,,,,
,,,Oaxaca,,,San Juan Ozolotepec,Santo Domingo Ozolotepec,Arábica,,0.0,,,,0.0,,,,85.0,,,,,121.0,,,,
,,,Oaxaca,,,San Juan Ozolotepec,Santo Domingo Ozolotepec,Arábica,,23.0,,,,30.0,,,,90.0,,,,,122.0,,,,
,,,Oaxaca,,,San Juan Ozolotepec,Santo Domingo Ozolotepec,Arábica,,0.0,,,,0.0,,,,60.0,,,,,122.0,,,,
,,,Oaxaca,,,San Juan Ozolotepec,Santo Domingo Ozolotepec,Arábica,,15.0,,,,35.0,,,,96.0,,,,,124.0,,,,
,,Chiapas,,,,Cacahoatán,Puente Colorado,,Robusta,42.0,,,,50.0,,,,,,,,,,,,,
,,Chiapas,,,,Cacahoatán,2 de mayo,,Robusta,16.0,,38.0,,24.0,,60.0,,,,,,,,,,,
,,Chiapas,,,,Tuxtla Chico,Sección La Toma,,Robusta,50.0,,,,50.0,,,,,,,,,,,,,
,,Chiapas,,,,Cacahoatán,2 de mayo,,Robusta,16.0,,38.0,,24.0,,65.0,,,,,,,,,,,
,,Chiapas,,,,Cacahotán,Mixcum,,Robusta,26.0,,,,40.0,,,,,,,,,,,,,
,,Chiapas,,,,Cacahoatán,Mixcum,,Robusta,16.0,,,,16.0,,,,,,,,,,,,,
,,Chiapas,,,,Cacahoatán,Mixcum,,Robusta,17.0,,,,17.0,,,,,,,,,,,,,
,,Chiapas,,,,Cacahoatán,Fracción 2 de mayo,,Robusta,16.0,,,,16.0,,,,,,,,,,,,,
,,Chiapas,,,,Cacahoatán,Mixcum,,Robusta,23.0,,,,29.0,,,,,,,,,,,,,
,,Chiapas,,,,Cacahoatán,Mixcum,,Robusta,50.0,,,,60.0,,,,,,,,,,,,,
,,Chiapas,,,,Cacahoatán,Ejido Mixcum,,Robusta,50.0,,,,60.0,,,,,,,,,,,,,
,,Chiapas,,,,Cacahoatán,Santa María La Vega,,Robusta,26.0,,,,40.0,,,,,,,,,,,,,
,,Chiapas,,,,Cacahoatán,Ejido Mixcum,,Robusta,,,30.0,,,,50.0,,,,,,,,,,,
,,Chiapas,,,,Cacahoatán,Ejido Mixcum,,Robusta,15.0,,,,59.0,,,,,,,,,,,,,
,,Chiapas,,,,Cacahoatán,Fracción 2 de mayo,,Robusta,50.0,,,,60.0,,,,,,,,,,,,,
,,Chiapas,,,,Cacahoatán,fracción 2 de mayo,,Robusta,30.0,,,,30.0,,,,,,,,,,,,,
,,Chiapas,,,,Cacahoatán,Fracción 2 de mayo,,Robusta,30.0,,,,40.0,,,,,,,,,,,,,
,,Chiapas,,,,Cacahoatán,Mixcum,,Robusta,53.0,,,,53.0,,,,,,,,,,,,,
,,Chiapas,,,,Cacahoatán,Mixcum,,Robusta,53.0,,,,53.0,,,,,,,,,,,,,
,,Chiapas,,,,Cacahoatán,Mixcum,,Robusta,53.0,,,,53.0,,,,,,,,,,,,,
,,Chiapas,,,,Cacahoatán,Ejido Guatimoc,,Robusta,50.0,,,,60.0,,,,,,,,,,,,,
,,Chiapas,,,,Cacahoatán,Ejido Guatimoc,,Robusta,52.0,,,,52.0,,,,,,,,,,,,,
,,Chiapas,,,,Cacahotán,Faja de Oro,,Robusta,58.0,,,,60.0,,,,,,,,,,,,,
,,Chiapas,,,,Cacahotán,Ejido Faja de Oro,,Robusta,50.0,,,,60.0,,,,,,,,,,,,,
,,Chiapas,,,,Cacahotán,Ejido Guatimoc,,Robusta,60.0,,,,60.0,,,,,,,,,,,,,
,,Chiapas,,,,Cacahotán,Santa María,,Robusta,50.0,,,,60.0,,,,,,,,,,,,,
,,Chiapas,,,,Tapachula,Carrillo Puerto,,Robusta,62.0,,,,64.0,,65.0,,,,,,,,,,,
,,Chiapas,,,,Tapachula,Carrillo Puerto,,Robusta,,,50.0,,,,60.0,,,,,,,,,,,
,,Chiapas,,,,Tapachula,Carrillo Puerto,,Robusta,,,60.0,,,,60.0,,,,,,,,,,,
,,Chiapas,,,,Tuxtla Chico,Sección La Toma ,,Robusta,,,50.0,,,,60.0,,,,,,,,,,,
,,Chiapas,,,,Tapachula,Cacahotán,,Robusta,,,50.0,,,,55.0,,,,,,,,,,,
,,Chiapas,,,,Tuxtla Chico,Sección de la Toma,,Robusta,,,50.0,,,,55.0,,,,,,,,,,,
,,Chiapas,,,,Tapachula,Carrillo Puerto,,Robusta,,,55.0,,,,60.0,,,,,,,,,,,
,,Chiapas,,,,Tapachula,Carrillo Puerto Sur,,Robusta,,,55.0,,,,60.0,,,,,,,,,,,
,,Chiapas,,,,Tapachula,Carrillo Puerto Sur,,Robusta,,,55.0,,,,60.0,,,,,,,,,,,
,,Chiapas,,,,Tapachula,Fracción San Agustín Jitotol,,Robusta,40.0,,,,58.0,,,,,,,,,,,,,
,,Chiapas,,,,Tapachula,Cacahotán,,Robusta,,,58.0,,,,60.0,,,,,,,,,,,
,,Chiapas,,,,Tapachula,Cantón El Triunfo,,Robusta,,,51.0,,,,60.0,,,,,,,,,,,
,,Chiapas,,,,Tapachula,San Agustin,,Robusta,,,58.0,,,,62.0,,,,,,,,,,,
,,Chiapas,,,,Tapachula,Fracción Hermosillo,,Robusta,,,58.0,,,,63.0,,,,,,,,,,,
,,Chiapas,,,,Tapachula,Salvador Urbina,,Robusta,,,58.0,,,,60.0,,,,,,,,,,,
,,Chiapas,,,,Tapachula,Tapachula,,Robusta,,,57.0,,,,60.0,,,,,,,,,,,
,,Chiapas,,,,Tapachula,Hermosillo,,Robusta,,,58.0,,,,58.0,,,,,,,,,,,
,,Chiapas,,,,Tapachula,San Agustin,,Robusta,,,57.0,,,,58.0,,,,,,,,,,,
,,Chiapas,,,,Tapachula,Carrillo Puerto,,Robusta,,,53.0,,,,60.0,,,,,,,,,,,
,,Chiapas,,,,Tapachula,Carrillo Puerto,,Robusta,,,50.0,,,,60.0,,,,,,,,,,,
